,City_name,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_Speed,Country,Date
301,Grand-Lahou,5.1367,-5.0242,82.51,82,31,10.71,CI,1619301005
302,Nome,64.5011,-165.4064,44.6,53,1,1.92,US,1619301005
303,Adrar,20.5022,-10.0711,83.3,10,42,10.87,MR,1619301007
304,Cabo San Lucas,22.8909,-109.9124,80.01,31,1,11.5,MX,1619300957
305,Nola,40.922,14.5329,55.4,67,0,2.3,IT,1619301009
306,Bay Roberts,47.5999,-53.2648,45.0,71,55,1.99,CA,1619301009
307,Kailua,21.4022,-157.7394,82.4,65,40,14.97,US,1619301009
308,Sangar,63.9242,127.4739,21.97,90,100,1.59,RU,1619301010
309,Qūchān,37.106,58.5095,57.92,53,58,9.42,IR,1619301010
310,Takoradze,4.8845,-1.7554,81.43,82,77,7.52,GH,1619301011
311,Kiryat Gat,31.61,34.7642,64.99,100,14,4.68,IL,1619301004
312,Khani,41.9563,42.9566,46.4,93,0,2.3,GE,1619301012
313,San Patricio,28.017,-97.5169,96.8,11,1,14.97,US,1619301013
314,Lianzhou,24.7811,112.3825,64.65,93,100,5.23,CN,1619301013
315,Bijie,27.3125,105.2942,60.19,93,100,3.36,CN,1619301014
316,Quatre Cocos,-20.2078,57.7625,79.0,94,75,18.41,MU,1619301015
317,Kahului,20.8947,-156.47,80.6,65,40,21.85,US,1619301016
318,Woodward,36.4337,-99.3904,69.8,28,1,3.44,US,1619301017
319,Leeton,-34.5667,146.4,37.4,93,28,3.89,AU,1619301018
320,Barcelos,41.5388,-8.6151,60.8,94,40,6.91,PT,1619300753
321,Belmonte,-15.8631,-38.8828,78.8,78,20,10.36,BR,1619301018
322,Port-Gentil,-0.7193,8.7815,80.6,89,20,5.75,GA,1619301019
323,Zhangaözen,43.3,52.8,62.31,31,3,9.71,KZ,1619301019
324,George Town,5.4112,100.3354,82.0,83,20,6.91,MY,1619300915
325,Meulaboh,4.1363,96.1285,75.09,87,99,3.91,ID,1619301020
326,Nanortalik,60.1432,-45.2371,41.88,75,100,13.96,GL,1619301020
327,Naze,28.3667,129.4833,69.8,68,75,18.41,JP,1619301021
328,Pilar do Sul,-23.8131,-47.7164,63.61,84,2,3.65,BR,1619301021
329,Mareeba,-17.0,145.4333,73.4,100,90,5.75,AU,1619301022
330,Nelson Bay,-32.7167,152.15,55.0,93,0,10.36,AU,1619301022
331,Ngunguru,-35.6167,174.5,63.0,84,9,8.68,NZ,1619301022
332,Tessalit,20.1986,1.0114,90.21,6,0,7.76,ML,1619301023
333,Sciacca,37.5082,13.0881,53.01,81,1,10.0,IT,1619301023
334,Porto-Novo,6.4965,2.6036,86.0,74,20,11.5,BJ,1619301024
335,Banyo,6.75,11.8167,66.15,94,100,0.2,CM,1619301024
336,Rio Grande,-32.035,-52.0986,66.99,90,100,4.07,BR,1619301024
337,Panama City,8.9936,-79.5197,88.0,83,40,4.61,PA,1619300977
338,Bandarbeyla,9.4942,50.8122,82.78,77,74,5.66,SO,1619301025
339,College,64.8569,-147.8028,59.0,24,20,1.43,US,1619301025
340,Ipixuna,-1.7625,-48.8043,77.0,94,90,3.44,BR,1619301026
341,Ola,59.5833,151.2833,19.06,62,100,15.14,RU,1619301026
342,Berlevåg,70.8578,29.0864,33.84,70,99,13.87,NO,1619301026
343,Lahaina,20.8783,-156.6825,80.6,65,40,21.85,US,1619301027
344,Arman',59.7,150.1667,19.27,64,100,12.66,RU,1619301027
345,Manakara,-22.1333,48.0167,69.76,93,41,4.09,MG,1619301029
346,Grand Forks,47.9417,-97.4337,46.99,18,40,3.44,US,1619301029
347,Imbituba,-28.24,-48.6703,71.6,83,40,4.61,BR,1619301030
348,Nacala,-14.5428,40.6728,73.06,96,99,8.21,MZ,1619301030
349,Mount Gambier,-37.8333,140.7667,51.8,100,75,6.91,AU,1619301030
350,Manokwari,-0.8667,134.0833,75.85,91,100,4.27,ID,1619301031
351,Nador,35.174,-2.9287,60.8,94,90,9.22,MA,1619301031
352,Havelock,34.8791,-76.9013,68.0,77,90,8.05,US,1619300757
353,Shiyan,32.6475,110.7781,53.33,93,100,0.36,CN,1619301032
354,Saurimo,-9.6608,20.3916,64.99,91,95,2.06,AO,1619301032
355,Tilichiki,60.4667,166.1,28.0,96,100,2.04,RU,1619301032
